category_1,category_2,times_bought_together
bed_bath_table,furniture_decor,70
bed_bath_table,home_confort,43
furniture_decor,housewares,24
bed_bath_table,housewares,20
baby,cool_stuff,20
baby,toys,19
baby,bed_bath_table,17
furniture_decor,garden_tools,17
health_beauty,sports_leisure,14
furniture_decor,home_construction,13
baby,furniture_decor,12
health_beauty,perfumery,12
bed_bath_table,health_beauty,11
garden_tools,housewares,11
housewares,sports_leisure,11
construction_tools_lights,furniture_decor,11
bed_bath_table,cool_stuff,10
computers_accessories,garden_tools,9
cool_stuff,toys,7
garden_tools,home_construction,7
furniture_decor,watches_gifts,7
furniture_decor,furniture_living_room,7
audio,watches_gifts,6
stationery,toys,6
computers_accessories,telephony,6
cool_stuff,telephony,6
furniture_decor,home_confort,6
computers_accessories,cool_stuff,5
sports_leisure,watches_gifts,5
bed_bath_table,office_furniture,5
baby,housewares,5
auto,computers_accessories,5
art,furniture_decor,5
construction_tools_construction,garden_tools,5
computers_accessories,electronics,5
luggage_accessories,stationery,5
computers_accessories,housewares,4
baby,garden_tools,4
bed_bath_table,garden_tools,4
cool_stuff,furniture_decor,4
health_beauty,stationery,4
sports_leisure,toys,4
furniture_decor,office_furniture,4
housewares,stationery,4
auto,sports_leisure,3
furniture_living_room,office_furniture,3
baby,fashion_bags_accessories,3
auto,telephony,3
auto,construction_tools_construction,3
computers_accessories,sports_leisure,3
auto,cool_stuff,3
health_beauty,watches_gifts,3
perfumery,sports_leisure,3
furniture_decor,health_beauty,3
drinks,health_beauty,3
construction_tools_lights,sports_leisure,3
furniture_decor,market_place,3
food,health_beauty,3
furniture_decor,sports_leisure,3
garden_tools,sports_leisure,3
construction_tools_safety,home_construction,2
fashion_bags_accessories,fashion_childrens_clothes,2
electronics,watches_gifts,2
fashion_bags_accessories,stationery,2
food_drink,housewares,2
food_drink,sports_leisure,2
cool_stuff,watches_gifts,2
cool_stuff,health_beauty,2
housewares,kitchen_dining_laundry_garden_furniture,2
health_beauty,market_place,2
housewares,market_place,2
stationery,watches_gifts,2
office_furniture,sports_leisure,2
perfumery,toys,2
telephony,watches_gifts,2
housewares,watches_gifts,2
health_beauty,luggage_accessories,2
garden_tools,stationery,2
health_beauty,telephony,2
garden_tools,watches_gifts,2
home_construction,housewares,2
furniture_decor,stationery,2
furniture_decor,pet_shop,2
bed_bath_table,electronics,2
furniture_decor,perfumery,2
construction_tools_safety,cool_stuff,2
furniture_decor,industry_commerce_and_business,2
electronics,perfumery,2
drinks,housewares,2
drinks,sports_leisure,2
electronics,furniture_decor,2
cool_stuff,tablets_printing_image,2
electronics,telephony,2
auto,housewares,2
baby,fashion_shoes,2
bed_bath_table,toys,2
books_general_interest,market_place,2
bed_bath_table,furniture_living_room,2
bed_bath_table,market_place,2
computers_accessories,luggage_accessories,2
bed_bath_table,costruction_tools_garden,2
computers_accessories,stationery,2
consoles_games,toys,2
auto,baby,2
auto,bed_bath_table,2
auto,garden_tools,2
auto,furniture_decor,2
bed_bath_table,construction_tools_safety,1
air_conditioning,computers_accessories,1
auto,electronics,1
auto,fashion_bags_accessories,1
arts_and_craftmanship,toys,1
arts_and_craftmanship,garden_tools,1
art,stationery,1
auto,christmas_supplies,1
construction_tools_lights,costruction_tools_garden,1
construction_tools_construction,watches_gifts,1
construction_tools_construction,toys,1
construction_tools_construction,pet_shop,1
construction_tools_construction,housewares,1
construction_tools_construction,kitchen_dining_laundry_garden_furniture,1
construction_tools_construction,health_beauty,1
construction_tools_construction,furniture_decor,1
consoles_games,cool_stuff,1
consoles_games,sports_leisure,1
consoles_games,housewares,1
consoles_games,pet_shop,1
computers_accessories,watches_gifts,1
computers_accessories,home_construction,1
computers_accessories,office_furniture,1
computers_accessories,tablets_printing_image,1
computers_accessories,dvds_blu_ray,1
computers_accessories,construction_tools_safety,1
computers_accessories,furniture_decor,1
computers_accessories,construction_tools_construction,1
computers_accessories,health_beauty,1
books_general_interest,cool_stuff,1
books_general_interest,housewares,1
books_technical,costruction_tools_garden,1
books_technical,furniture_decor,1
books_technical,health_beauty,1
books_technical,music,1
cine_photo,cool_stuff,1
cine_photo,sports_leisure,1
cine_photo,telephony,1
computers,furniture_decor,1
computers_accessories,consoles_games,1
bed_bath_table,food,1
bed_bath_table,fashion_bags_accessories,1
bed_bath_table,home_appliances_2,1
bed_bath_table,furniture_bedroom,1
bed_bath_table,perfumery,1
bed_bath_table,pet_shop,1
bed_bath_table,kitchen_dining_laundry_garden_furniture,1
bed_bath_table,party_supplies,1
bed_bath_table,sports_leisure,1
air_conditioning,sports_leisure,1
auto,consoles_games,1
auto,drinks,1
auto,watches_gifts,1
auto,musical_instruments,1
auto,home_comfort_2,1
auto,health_beauty,1
baby,furniture_bedroom,1
baby,books_general_interest,1
baby,construction_tools_lights,1
baby,construction_tools_safety,1
auto,luggage_accessories,1
baby,la_cuisine,1
baby,health_beauty,1
baby,furniture_living_room,1
baby,signaling_and_security,1
baby,luggage_accessories,1
baby,watches_gifts,1
baby,sports_leisure,1
bed_bath_table,computers_accessories,1
bed_bath_table,construction_tools_construction,1
bed_bath_table,construction_tools_lights,1
electronics,small_appliances,1
furniture_decor,small_appliances,1
