Review real;Review predicha;Diferencia;Modelo
5,0;4,21;0,79;Regresión Lineal
5,0;3,95;1,05;Regresión Lineal
5,0;3,92;1,08;Regresión Lineal
5,0;2,52;2,48;Regresión Lineal
5,0;4,2;0,8;Regresión Lineal
5,0;4,04;0,96;Regresión Lineal
5,0;4,06;0,94;Regresión Lineal
3,0;3,15;-0,15;Regresión Lineal
4,0;4,5;-0,5;Regresión Lineal
5,0;4,6;0,4;Regresión Lineal
5,0;3,92;1,08;Regresión Lineal
4,0;3,6;0,4;Regresión Lineal
5,0;3,64;1,36;Regresión Lineal
4,0;4,42;-0,42;Regresión Lineal
5,0;4,1;0,9;Regresión Lineal
5,0;4,43;0,57;Regresión Lineal
5,0;4,4;0,6;Regresión Lineal
5,0;4,04;0,96;Regresión Lineal
4,0;1,57;2,43;Regresión Lineal
5,0;4,46;0,54;Regresión Lineal
5,0;4,02;0,98;Regresión Lineal
5,0;3,95;1,05;Regresión Lineal
4,0;3,89;0,11;Regresión Lineal
2,0;3,67;-1,67;Regresión Lineal
5,0;4,08;0,92;Regresión Lineal
5,0;4,19;0,81;Regresión Lineal
5,0;3,84;1,16;Regresión Lineal
5,0;4,28;0,72;Regresión Lineal
5,0;4,16;0,84;Regresión Lineal
4,0;4,43;-0,43;Regresión Lineal
5,0;4,09;0,91;Regresión Lineal
5,0;4,35;0,65;Regresión Lineal
4,0;4,11;-0,11;Regresión Lineal
4,0;4,35;-0,35;Regresión Lineal
5,0;4,76;0,24;Regresión Lineal
5,0;4,6;0,4;Regresión Lineal
4,0;4,51;-0,51;Regresión Lineal
5,0;4,1;0,9;Regresión Lineal
4,0;4,35;-0,35;Regresión Lineal
4,0;3,96;0,04;Regresión Lineal
3,0;3,98;-0,98;Regresión Lineal
5,0;4,01;0,99;Regresión Lineal
1,0;4,22;-3,22;Regresión Lineal
4,0;4,08;-0,08;Regresión Lineal
4,0;4,18;-0,18;Regresión Lineal
5,0;4,42;0,58;Regresión Lineal
1,0;3,54;-2,54;Regresión Lineal
5,0;4,19;0,81;Regresión Lineal
5,0;4,11;0,89;Regresión Lineal
5,0;3,63;1,37;Regresión Lineal
2,0;3,3;-1,3;Regresión Lineal
5,0;4,15;0,85;Regresión Lineal
4,0;4,75;-0,75;Regresión Lineal
5,0;4,2;0,8;Regresión Lineal
5,0;4,18;0,82;Regresión Lineal
5,0;4,42;0,58;Regresión Lineal
4,0;4,01;-0,01;Regresión Lineal
5,0;4,26;0,74;Regresión Lineal
5,0;4,06;0,94;Regresión Lineal
4,0;4,14;-0,14;Regresión Lineal
5,0;3,84;1,16;Regresión Lineal
5,0;3,95;1,05;Regresión Lineal
1,0;4,72;-3,72;Regresión Lineal
3,0;4,33;-1,33;Regresión Lineal
5,0;4,94;0,06;Regresión Lineal
5,0;4,36;0,64;Regresión Lineal
5,0;4,75;0,25;Regresión Lineal
5,0;3,83;1,17;Regresión Lineal
5,0;4,27;0,73;Regresión Lineal
4,0;4,22;-0,22;Regresión Lineal
5,0;4,36;0,64;Regresión Lineal
5,0;4,13;0,87;Regresión Lineal
4,0;4,0;0,0;Regresión Lineal
5,0;4,39;0,61;Regresión Lineal
1,0;3,93;-2,93;Regresión Lineal
4,0;4,17;-0,17;Regresión Lineal
1,0;4,1;-3,1;Regresión Lineal
4,0;4,0;0,0;Regresión Lineal
3,0;2,61;0,39;Regresión Lineal
5,0;4,07;0,93;Regresión Lineal
1,0;4,38;-3,38;Regresión Lineal
5,0;3,84;1,16;Regresión Lineal
5,0;4,03;0,97;Regresión Lineal
5,0;3,97;1,03;Regresión Lineal
5,0;3,87;1,13;Regresión Lineal
5,0;4,34;0,66;Regresión Lineal
4,0;4,26;-0,26;Regresión Lineal
5,0;4,18;0,82;Regresión Lineal
5,0;4,05;0,95;Regresión Lineal
4,0;4,78;-0,78;Regresión Lineal
4,0;4,07;-0,07;Regresión Lineal
5,0;4,05;0,95;Regresión Lineal
5,0;4,03;0,97;Regresión Lineal
4,0;3,46;0,54;Regresión Lineal
4,0;4,07;-0,07;Regresión Lineal
4,6;4,01;0,59;Regresión Lineal
5,0;4,11;0,89;Regresión Lineal
5,0;4,07;0,93;Regresión Lineal
5,0;4,31;0,69;Regresión Lineal
1,0;3,62;-2,62;Regresión Lineal
1,0;3,23;-2,23;Regresión Lineal
5,0;3,92;1,08;Regresión Lineal
5,0;4,38;0,62;Regresión Lineal
4,0;4,15;-0,15;Regresión Lineal
