Review real;Review predicha;Diferencia
5,0;3,46;1,54
5,0;4,15;0,85
5,0;3,07;1,93
5,0;4,28;0,72
5,0;3,3;1,7
5,0;4,19;0,81
5,0;4,88;0,12
3,0;2,02;0,98
4,0;4,56;-0,56
5,0;3,73;1,27
5,0;4,18;0,82
4,0;1,62;2,38
5,0;1,35;3,65
4,0;4,3;-0,3
5,0;4,17;0,83
5,0;4,6;0,4
5,0;4,59;0,41
5,0;4,26;0,74
4,0;1,61;2,39
5,0;4,0;1,0
5,0;4,42;0,58
5,0;4,26;0,74
4,0;3,49;0,51
2,0;4,26;-2,26
5,0;4,53;0,47
5,0;4,9;0,1
5,0;4,82;0,18
5,0;4,17;0,83
5,0;3,69;1,31
4,0;4,31;-0,31
5,0;4,5;0,5
5,0;4,32;0,68
4,0;4,11;-0,11
4,0;4,13;-0,13
5,0;3,83;1,17
5,0;4,16;0,84
4,0;4,91;-0,91
5,0;4,46;0,54
4,0;4,68;-0,68
4,0;3,36;0,64
3,0;4,48;-1,48
5,0;4,23;0,77
1,0;3,23;-2,23
4,0;4,46;-0,46
4,0;4,7;-0,7
5,0;4,7;0,3
1,0;3,14;-2,14
5,0;4,86;0,14
5,0;4,11;0,89
5,0;4,25;0,75
2,0;1,31;0,69
5,0;4,36;0,64
4,0;3,69;0,31
5,0;3,5;1,5
5,0;1,96;3,04
5,0;3,98;1,02
4,0;4,5;-0,5
5,0;4,23;0,77
5,0;4,95;0,05
4,0;4,53;-0,53
5,0;4,87;0,13
5,0;4,74;0,26
1,0;4,34;-3,34
3,0;4,46;-1,46
5,0;4,11;0,89
5,0;4,24;0,76
5,0;4,35;0,65
5,0;4,79;0,21
5,0;4,45;0,55
4,0;3,94;0,06
5,0;4,56;0,44
5,0;4,46;0,54
4,0;3,42;0,58
5,0;4,49;0,51
1,0;3,71;-2,71
4,0;4,41;-0,41
1,0;3,89;-2,89
4,0;4,53;-0,53
3,0;1,97;1,03
5,0;4,35;0,65
1,0;4,2;-3,2
5,0;4,16;0,84
5,0;4,62;0,38
5,0;4,37;0,63
5,0;4,61;0,39
5,0;4,15;0,85
4,0;4,83;-0,83
5,0;4,46;0,54
5,0;4,99;0,01
4,0;3,78;0,22
4,0;4,79;-0,79
5,0;2,46;2,54
5,0;4,59;0,41
4,0;2,68;1,32
4,0;4,28;-0,28
4,6;3,94;0,66
5,0;4,0;1,0
5,0;3,16;1,84
5,0;4,74;0,26
1,0;2,58;-1,58
1,0;3,27;-2,27
5,0;3,8;1,2
5,0;4,02;0,98
4,0;4,53;-0,53
5,0;2,36;2,64
4,0;4,18;-0,18
1,0;4,0;-3,0
3,0;2,94;0,06
5,0;3,44;1,56
5,0;3,38;1,62
4,0;4,58;-0,58
5,0;3,9;1,1
3,0;4,5;-1,5
5,0;4,11;0,89
3,0;3,03;-0,03
5,0;3,77;1,23
3,0;4,68;-1,68
3,0;4,26;-1,26
4,0;4,27;-0,27
5,0;4,32;0,68
1,0;4,2;-3,2
5,0;3,46;1,54
5,0;4,49;0,51
5,0;4,73;0,27
4,0;4,01;-0,01
3,0;4,04;-1,04
1,0;4,08;-3,08
2,0;4,68;-2,68
4,0;4,62;-0,62
5,0;4,29;0,71
5,0;4,56;0,44
5,0;2,34;2,66
5,0;4,75;0,25
3,0;3,65;-0,65
5,0;4,72;0,28
5,0;4,28;0,72
4,0;1,77;2,23
1,0;4,76;-3,76
5,0;3,72;1,28
5,0;4,48;0,52
5,0;4,03;0,97
5,0;3,47;1,53
5,0;4,05;0,95
5,0;4,26;0,74
4,0;4,36;-0,36
1,0;1,29;-0,29
5,0;4,7;0,3
3,0;4,77;-1,77
4,0;4,07;-0,07
5,0;3,86;1,14
5,0;4,21;0,79
5,0;4,6;0,4
4,0;4,4;-0,4
5,0;3,99;1,01
4,0;3,16;0,84
3,0;3,6;-0,6
5,0;3,17;1,83
5,0;4,88;0,12
4,0;4,84;-0,84
5,0;4,1;0,9
5,0;3,99;1,01
1,0;3,25;-2,25
4,0;3,73;0,27
4,0;4,91;-0,91
1,0;1,8;-0,8
4,0;4,5;-0,5
5,0;4,16;0,84
5,0;4,35;0,65
5,0;4,73;0,27
5,0;4,92;0,08
5,0;4,72;0,28
5,0;4,71;0,29
4,0;3,62;0,38
5,0;4,14;0,86
4,0;3,12;0,88
5,0;4,62;0,38
5,0;4,57;0,43
5,0;3,64;1,36
1,0;4,73;-3,73
5,0;4,44;0,56
3,0;4,42;-1,42
4,0;4,54;-0,54
2,0;4,29;-2,29
5,0;4,82;0,18
5,0;4,26;0,74
5,0;4,06;0,94
5,0;4,64;0,36
5,0;4,42;0,58
5,0;4,49;0,51
5,0;4,09;0,91
5,0;4,12;0,88
1,0;4,5;-3,5
5,0;3,76;1,24
5,0;4,62;0,38
4,0;3,34;0,66
5,0;3,86;1,14
1,0;2,0;-1,0
5,0;4,64;0,36
1,0;3,07;-2,07
5,0;3,91;1,09
3,0;3,71;-0,71
3,0;3,72;-0,72
4,0;4,53;-0,53
5,0;4,95;0,05
5,0;4,34;0,66
5,0;4,59;0,41
1,0;2,92;-1,92
5,0;4,73;0,27
5,0;3,3;1,7
5,0;4,71;0,29
3,0;4,94;-1,94
0,0;2,78;-2,78
5,0;2,8;2,2
5,0;4,0;1,0
1,0;3,65;-2,65
4,0;4,84;-0,84
5,0;4,61;0,39
5,0;3,46;1,54
5,0;4,99;0,01
3,0;3,59;-0,59
5,0;3,96;1,04
1,0;4,73;-3,73
5,0;4,35;0,65
5,0;3,61;1,39
5,0;4,0;1,0
1,0;1,88;-0,88
5,0;4,4;0,6
5,0;3,13;1,87
1,0;3,89;-2,89
5,0;3,75;1,25
5,0;4,72;0,28
5,0;4,62;0,38
3,0;4,6;-1,6
4,0;2,75;1,25
5,0;4,24;0,76
5,0;4,77;0,23
2,0;4,67;-2,67
1,0;4,62;-3,62
5,0;2,84;2,16
4,0;4,46;-0,46
5,0;4,65;0,35
4,0;3,41;0,59
1,0;1,69;-0,69
3,0;2,41;0,59
5,0;4,78;0,22
4,0;4,76;-0,76
5,0;4,6;0,4
1,0;4,46;-3,46
1,0;2,18;-1,18
5,0;4,77;0,23
5,0;4,91;0,09
4,0;4,66;-0,66
5,0;2,38;2,62
4,0;4,23;-0,23
2,0;3,96;-1,96
4,0;4,57;-0,57
3,0;4,74;-1,74
3,0;4,21;-1,21
3,0;3,84;-0,84
1,0;4,22;-3,22
3,0;4,65;-1,65
5,0;4,82;0,18
4,8;3,72;1,08
4,0;4,38;-0,38
5,0;4,2;0,8
5,0;3,37;1,63
5,0;4,37;0,63
4,0;4,49;-0,49
5,0;4,59;0,41
5,0;3,5;1,5
5,0;2,69;2,31
4,0;4,65;-0,65
4,0;3,09;0,91
3,0;4,9;-1,9
5,0;4,92;0,08
5,0;4,84;0,16
3,0;4,56;-1,56
5,0;4,35;0,65
3,0;4,7;-1,7
5,0;4,99;0,01
5,0;3,81;1,19
4,0;4,25;-0,25
5,0;4,72;0,28
4,0;4,23;-0,23
4,0;4,2;-0,2
1,0;1,18;-0,18
5,0;4,93;0,07
5,0;4,81;0,19
5,0;4,5;0,5
5,0;4,54;0,46
5,0;4,53;0,47
5,0;4,45;0,55
5,0;4,31;0,69
4,0;4,31;-0,31
5,0;3,63;1,37
5,0;4,19;0,81
5,0;4,32;0,68
5,0;4,12;0,88
4,0;3,73;0,27
4,0;4,56;-0,56
4,0;4,86;-0,86
5,0;3,61;1,39
1,0;4,29;-3,29
5,0;4,55;0,45
3,0;4,72;-1,72
5,0;3,9;1,1
4,0;2,43;1,57
5,0;4,84;0,16
0,0;4,39;-4,39
3,3333;4,48;-1,15
3,0;4,74;-1,74
5,0;3,92;1,08
5,0;4,3;0,7
5,0;4,52;0,48
5,0;4,25;0,75
5,0;4,1;0,9
1,0;1,82;-0,82
5,0;3,61;1,39
3,0;4,72;-1,72
5,0;4,68;0,32
2,0;1,47;0,53
1,0;1,58;-0,58
5,0;4,64;0,36
2,0;4,05;-2,05
3,0;3,84;-0,84
5,0;1,17;3,83
1,0;2,48;-1,48
5,0;3,5;1,5
5,0;3,8;1,2
4,0;3,66;0,34
4,0;4,86;-0,86
3,0;4,02;-1,02
5,0;3,73;1,27
5,0;4,42;0,58
5,0;3,89;1,11
2,0;4,75;-2,75
1,0;1,07;-0,07
1,0;4,46;-3,46
4,0;4,28;-0,28
4,0;2,3;1,7
5,0;4,18;0,82
5,0;4,66;0,34
5,0;4,46;0,54
4,0;4,97;-0,97
5,0;4,56;0,44
5,0;4,26;0,74
5,0;3,71;1,29
5,0;4,43;0,57
1,0;4,24;-3,24
5,0;3,58;1,42
5,0;4,16;0,84
4,0;4,32;-0,32
5,0;3,76;1,24
