Review real;Review predicha;Diferencia
5,0;4,21;0,79
5,0;3,95;1,05
5,0;3,92;1,08
5,0;2,52;2,48
5,0;4,2;0,8
5,0;4,04;0,96
5,0;4,06;0,94
3,0;3,15;-0,15
4,0;4,5;-0,5
5,0;4,6;0,4
5,0;3,92;1,08
4,0;3,6;0,4
5,0;3,64;1,36
4,0;4,42;-0,42
5,0;4,1;0,9
5,0;4,43;0,57
5,0;4,4;0,6
5,0;4,04;0,96
4,0;1,57;2,43
5,0;4,46;0,54
5,0;4,02;0,98
5,0;3,95;1,05
4,0;3,89;0,11
2,0;3,67;-1,67
5,0;4,08;0,92
5,0;4,19;0,81
5,0;3,84;1,16
5,0;4,28;0,72
5,0;4,16;0,84
4,0;4,43;-0,43
5,0;4,09;0,91
5,0;4,35;0,65
4,0;4,11;-0,11
4,0;4,35;-0,35
5,0;4,76;0,24
5,0;4,6;0,4
4,0;4,51;-0,51
5,0;4,1;0,9
4,0;4,35;-0,35
4,0;3,96;0,04
3,0;3,98;-0,98
5,0;4,01;0,99
1,0;4,22;-3,22
4,0;4,08;-0,08
4,0;4,18;-0,18
5,0;4,42;0,58
1,0;3,54;-2,54
5,0;4,19;0,81
5,0;4,11;0,89
5,0;3,63;1,37
2,0;3,3;-1,3
5,0;4,15;0,85
4,0;4,75;-0,75
5,0;4,2;0,8
5,0;4,18;0,82
5,0;4,42;0,58
4,0;4,01;-0,01
5,0;4,26;0,74
5,0;4,06;0,94
4,0;4,14;-0,14
5,0;3,84;1,16
5,0;3,95;1,05
1,0;4,72;-3,72
3,0;4,33;-1,33
5,0;4,94;0,06
5,0;4,36;0,64
5,0;4,75;0,25
5,0;3,83;1,17
5,0;4,27;0,73
4,0;4,22;-0,22
5,0;4,36;0,64
5,0;4,13;0,87
4,0;4,0;0,0
5,0;4,39;0,61
1,0;3,93;-2,93
4,0;4,17;-0,17
1,0;4,1;-3,1
4,0;4,0;0,0
3,0;2,61;0,39
5,0;4,07;0,93
1,0;4,38;-3,38
5,0;3,84;1,16
5,0;4,03;0,97
5,0;3,97;1,03
5,0;3,87;1,13
5,0;4,34;0,66
4,0;4,26;-0,26
5,0;4,18;0,82
5,0;4,05;0,95
4,0;4,78;-0,78
4,0;4,07;-0,07
5,0;4,05;0,95
5,0;4,03;0,97
4,0;3,46;0,54
4,0;4,07;-0,07
4,6;4,01;0,59
5,0;4,11;0,89
5,0;4,07;0,93
5,0;4,31;0,69
1,0;3,62;-2,62
1,0;3,23;-2,23
5,0;3,92;1,08
5,0;4,38;0,62
4,0;4,15;-0,15
5,0;3,15;1,85
4,0;3,92;0,08
1,0;3,96;-2,96
3,0;4,07;-1,07
5,0;2,96;2,04
5,0;4,69;0,31
4,0;4,02;-0,02
5,0;4,37;0,63
3,0;4,48;-1,48
5,0;3,96;1,04
3,0;4,86;-1,86
5,0;4,55;0,45
3,0;4,35;-1,35
3,0;4,4;-1,4
4,0;4,28;-0,28
5,0;4,19;0,81
1,0;4,01;-3,01
5,0;3,95;1,05
5,0;4,31;0,69
5,0;4,37;0,63
4,0;4,6;-0,6
3,0;3,55;-0,55
1,0;4,13;-3,13
2,0;4,36;-2,36
4,0;3,71;0,29
5,0;4,24;0,76
5,0;4,23;0,77
5,0;4,38;0,62
5,0;3,91;1,09
3,0;3,59;-0,59
5,0;4,17;0,83
5,0;4,35;0,65
4,0;3,98;0,02
1,0;4,1;-3,1
5,0;4,13;0,87
5,0;4,0;1,0
5,0;3,89;1,11
5,0;3,76;1,24
5,0;4,02;0,98
5,0;3,94;1,06
4,0;4,11;-0,11
1,0;3,36;-2,36
5,0;4,26;0,74
3,0;4,26;-1,26
4,0;4,39;-0,39
5,0;4,11;0,89
5,0;3,93;1,07
5,0;3,87;1,13
4,0;4,54;-0,54
5,0;3,82;1,18
4,0;3,55;0,45
3,0;3,54;-0,54
5,0;3,61;1,39
5,0;4,09;0,91
4,0;4,1;-0,1
5,0;4,21;0,79
5,0;3,96;1,04
1,0;4,43;-3,43
4,0;3,88;0,12
4,0;4,15;-0,15
1,0;2,79;-1,79
4,0;4,04;-0,04
5,0;3,85;1,15
5,0;4,09;0,91
5,0;4,44;0,56
5,0;3,94;1,06
5,0;4,41;0,59
5,0;4,19;0,81
4,0;3,93;0,07
5,0;4,39;0,61
4,0;4,24;-0,24
5,0;4,59;0,41
5,0;4,12;0,88
5,0;4,14;0,86
1,0;3,59;-2,59
5,0;4,47;0,53
3,0;3,96;-0,96
4,0;3,87;0,13
2,0;4,08;-2,08
5,0;3,95;1,05
5,0;4,02;0,98
5,0;4,38;0,62
5,0;3,66;1,34
5,0;4,22;0,78
5,0;4,7;0,3
5,0;4,05;0,95
5,0;4,23;0,77
1,0;3,77;-2,77
5,0;3,73;1,27
5,0;4,07;0,93
4,0;4,36;-0,36
5,0;4,51;0,49
1,0;3,62;-2,62
5,0;4,0;1,0
1,0;3,47;-2,47
5,0;4,14;0,86
3,0;3,91;-0,91
3,0;3,4;-0,4
4,0;4,48;-0,48
5,0;4,34;0,66
